Lambda(nm),X(V),Y(V),R(V),Fase(deg)
750,8.658255992645459e-05,-6.7087200367727084e-06,8.684207855613483e-05,-4.4306251467178255
755,4.23778517798652e-05,-2.8811074110067403e-05,5.124412466665832e-05,-34.21027936594482
760,7.4265377685114094e-06,-4.62867311157443e-05,4.687872588507859e-05,-80.88478834378485
765,0.00014903128816685904,2.4515644083429516e-05,0.0001510342400169537,9.34149318105215
770,-7.018037070666462e-06,-5.3509018535333233e-05,5.396728554355763e-05,-97.47204431620945
775,6.101975283546104e-06,-4.694901235822695e-05,4.734388940268801e-05,-82.59476360702149
780,9.82668197281318e-05,-8.665901359340986e-07,9.8270640773045e-05,-0.5052638358011972
785,6.96620139757511e-05,-1.5168993012124458e-05,7.129442152202108e-05,-12.284466843043646
790,0.00010729688279660127,3.6484413983006333e-06,0.00010735889428689372,1.9474916585400512
795,0.00010010366841575439,5.183420787719162e-08,0.0001001036818357667,0.02966805440138104
800,7.659688257164796e-05,-1.170155871417602e-05,7.748553991575549e-05,-8.685811633886841
